timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1643309021509,500,Home Page,429,Too Many Requests,Test 1 1-3,text,false,Test failed: code expected to contain /200/,3579,616,5,5,https://allegro.pl/,28,0,11
1643309021509,28,Home Page-0,301,Moved Permanently,Test 1 1-3,,true,,277,310,5,5,http://www.allegro.pl/,28,0,11
1643309021539,470,Home Page-1,429,Too Many Requests,Test 1 1-3,text,false,,3302,306,5,5,https://allegro.pl/,468,0,436
1643309021708,302,Home Page,429,Too Many Requests,Test 1 1-4,text,false,Test failed: code expected to contain /200/,3578,616,5,5,https://allegro.pl/,27,0,13
1643309021309,703,Home Page,429,Too Many Requests,Test 1 1-2,text,false,Test failed: code expected to contain /200/,3579,616,5,5,https://allegro.pl/,25,0,9
1643309021309,25,Home Page-0,301,Moved Permanently,Test 1 1-2,,true,,277,310,5,5,http://www.allegro.pl/,25,0,9
1643309021335,677,Home Page-1,429,Too Many Requests,Test 1 1-2,text,false,,3302,306,5,5,https://allegro.pl/,676,0,639
1643309021708,27,Home Page-0,301,Moved Permanently,Test 1 1-4,,true,,277,310,5,5,http://www.allegro.pl/,27,0,13
1643309021737,273,Home Page-1,429,Too Many Requests,Test 1 1-4,text,false,,3301,306,5,5,https://allegro.pl/,273,0,235
1643309021244,795,Home Page,429,Too Many Requests,Test 1 1-1,text,false,Test failed: code expected to contain /200/,3579,616,5,5,https://allegro.pl/,82,0,52
1643309021244,85,Home Page-0,301,Moved Permanently,Test 1 1-1,,true,,277,310,5,5,http://www.allegro.pl/,82,0,52
1643309021333,706,Home Page-1,429,Too Many Requests,Test 1 1-1,text,false,,3302,306,5,5,https://allegro.pl/,705,0,639
1643309022030,69,Home Page,429,Too Many Requests,Test 1 1-2,text,false,Test failed: code expected to contain /200/,3579,834,5,5,https://allegro.pl/,32,0,0
1643309022030,32,Home Page-0,301,Moved Permanently,Test 1 1-2,,true,,277,310,5,5,http://www.allegro.pl/,32,0,0
1643309022066,33,Home Page-1,429,Too Many Requests,Test 1 1-2,text,false,,3302,524,5,5,https://allegro.pl/,31,0,0
1643309022033,70,Home Page,429,Too Many Requests,Test 1 1-3,text,false,Test failed: code expected to contain /200/,3578,834,5,5,https://allegro.pl/,39,0,0
1643309022033,39,Home Page-0,301,Moved Permanently,Test 1 1-3,,true,,277,310,5,5,http://www.allegro.pl/,39,0,0
1643309022073,30,Home Page-1,429,Too Many Requests,Test 1 1-3,text,false,,3301,524,5,5,https://allegro.pl/,29,0,0
1643309022042,69,Home Page,429,Too Many Requests,Test 1 1-1,text,false,Test failed: code expected to contain /200/,3578,834,5,5,https://allegro.pl/,30,0,0
1643309022042,31,Home Page-0,301,Moved Permanently,Test 1 1-1,,true,,277,310,5,5,http://www.allegro.pl/,30,0,0
1643309022074,37,Home Page-1,429,Too Many Requests,Test 1 1-1,text,false,,3301,524,5,5,https://allegro.pl/,36,0,0
